RoadWeatherStation,MobileWeatherStation,RoadState,MonthsfromJan2015
-0.7,-0.3,Wet,1
-4.7,-5.38,Moist,1
16,15.55,Wet,8
10.6,8.98,Dry,9
11.1,8.04,Dry,9
3,1.89,Dry,9
7.4,7.27,Wet,10
-1.3,-1.27,Moist,11
-0.4,-0.64,Moist,13
1.9,2.26,Moist,14
-3.5,-3.62,Moist,22
5.1,4.67,Wet,22
1.3,1.23,Wet,22
-1.2,-0.18,Moist,22
4.1,4.78,Wet,22
4,3.89,Wet,22
-3.3,-3.18,Wet,22
-3,-3.11,Ice,22
-2.4,-2.59,Dry,22
-1,-1.06,Moist,22
-6.7,-6.32,Wet,22
-1.2,-1.18,Wet,22
-3.1,-3.94,Dry,22
-0.4,0.04,Slush,22
-0.2,0.78,Wet,22
-4.2,-4.44,Moist,22
3.9,4.3,Wet,22
-2.6,-0.62,Ice,23
1.4,2.95,Wet,23
1.6,1.81,Wet,23
-2.2,-1.48,Moist,23
1.9,2.22,Wet,23
-5.1,-4.97,Moist,23
-3,-3.68,Wet,23
0.4,0.79,Wet,23
-8.6,-8.4,Moist,23
1.5,1.16,Wet,23
-1.7,-1.15,Wet,23
-9,-8.71,Dry,23
-9.6,-9.71,Dry,23
-4.9,-4.87,Ice,23
-1.6,-0.99,Wet,23
-2.6,-2.77,Moist,23
-4.9,-3.25,Ice,23
2.4,2.59,Moist,23
-0.8,1.54,Dry,23
-1.5,-1.72,Slush,23
1.8,1.93,Wet,23
-1.7,-1.44,Moist,23
-2.5,-1.8,Wet,23
1.5,1.3,Wet,23
-0.5,-0.43,Wet,24
-2.5,-1.36,Wet,24
-10,-10.78,Dry,24
-1.1,-1.25,Wet,24
0.5,0.48,Wet,24
1.2,0.67,Wet,24
-2.3,-2.66,Ice,24
0.2,0.27,Wet,24
-15.9,-14.34,Moist,24
-0.6,-0.75,Wet,24
-1.2,0.15,Wet,24
0,2.47,Wet,24
1.2,0.95,Wet,24
0.7,0.37,Wet,24
0,0.04,Wet,24
-3.5,-2.68,Moist,25
-8.1,-8.78,Dry,25
4.4,3.46,Dry,25
1.6,-0.42,Wet,25
3.8,3.96,Dry,25
-4.1,-4.15,Wet,25
0.4,-1.35,Wet,25
-0.6,-0.81,Wet,25
-1.1,-1,Moist,25
-8.5,-9.64,Dry,25
3.7,3.58,Wet,25
-5.1,-5.95,Dry,25
-6.4,-7.04,Moist,25
-0.1,-0.32,Wet,25
1.3,3.3,Wet,25
4.5,3.92,Wet,26
1.5,1.75,Moist,26
6.6,4.79,Dry,26
10,9.01,Dry,26
-2.3,-2.65,Ice,26
3.4,3.12,Wet,26
6.8,5.57,Moist,26
7.6,6.15,Moist,26
-2.2,-1.49,Dry,26
7.3,6.05,Moist,26
-0.4,-0.48,Dry,26
4.2,4.28,Moist,26
0.4,0.4,Wet,26
5.3,4.55,Dry,26
1.1,1.14,Wet,26
2,2.01,Wet,26
3.3,2.95,Wet,26
1,0.26,Wet,26
0.2,0.07,Wet,26
13.4,9.03,Dry,26
18.3,15.69,Dry,27
2.7,2.87,Dry,27
20.1,16.3,Dry,27
15.3,11.34,Dry,27
7.2,7.17,Dry,27
19.1,15.66,Dry,27
15.8,12.66,Dry,27
15.9,14.01,Dry,27
3.7,3.06,Dry,27
5.7,5.09,Moist,27
5.3,4.71,Wet,27
5.5,4.8,Dry,27
6.5,6.4,Wet,27
19.5,16.33,Dry,27
